From Id	To Id	Tx	Meta
0	1	0.161594	OLSR
2	1	0.278942	OLSR
2	3	0.278942	OLSR
1	0	0.37979	OLSR
1	2	0.37979	OLSR
3	2	0.457968	OLSR
3	4	0.457968	OLSR
2	1	2.14436	OLSR
2	3	2.14436	OLSR
3	2	2.17559	OLSR
3	4	2.17559	OLSR
1	0	2.24618	OLSR
1	2	2.24618	OLSR
0	1	2.44667	OLSR
4	3	2.4556	OLSR
3	2	4.07195	OLSR
3	4	4.07195	OLSR
0	1	4.15371	OLSR
4	3	4.24352	OLSR
1	0	4.40448	OLSR
1	2	4.40448	OLSR
2	1	4.46924	OLSR
2	3	4.46924	OLSR
3	2	5.03522	OLSR
3	4	5.03522	OLSR
1	0	5.34019	OLSR
1	2	5.34019	OLSR
2	1	5.45996	OLSR
2	3	5.45996	OLSR
3	2	6.0387	OLSR
3	4	6.0387	OLSR
4	3	6.0838	OLSR
0	1	6.1901	OLSR
2	1	6.21785	OLSR
2	3	6.21785	OLSR
1	0	6.49173	OLSR
1	2	6.49173	OLSR
2	1	8.06519	OLSR
2	3	8.06519	OLSR
3	2	8.23348	OLSR
3	4	8.23348	OLSR
4	3	8.41075	OLSR
0	1	8.48681	OLSR
1	0	8.49241	OLSR
1	2	8.49241	OLSR
4	3	10.0435	OLSR
1	0	10.158	OLSR
1	2	10.158	OLSR
0	1	10.357	OLSR
2	1	10.4581	OLSR
2	3	10.4581	OLSR
3	2	10.4978	OLSR
3	4	10.4978	OLSR
2	1	10.5478	OLSR
2	3	10.5478	OLSR
1	0	10.7824	OLSR
1	2	10.7824	OLSR
0	1	11	 UDP 49153 > 9
1	2	11.001	 UDP 49153 > 9
2	3	11.002	 UDP 49153 > 9
3	4	11.003	 UDP 49153 > 9
4	3	11.004	 UDP 9 > 49153
3	2	11.0051	 UDP 9 > 49153
2	1	11.0061	 UDP 9 > 49153
1	0	11.0071	 UDP 9 > 49153
0	1	12	 UDP 49153 > 9
1	2	12.001	 UDP 49153 > 9
2	3	12.002	 UDP 49153 > 9
3	4	12.003	 UDP 49153 > 9
4	3	12.004	 UDP 9 > 49153
3	2	12.0051	 UDP 9 > 49153
2	1	12.0061	 UDP 9 > 49153
1	0	12.0071	 UDP 9 > 49153
4	3	12.1272	OLSR
1	0	12.1274	OLSR
1	2	12.1274	OLSR
0	1	12.2058	OLSR
3	2	12.3791	OLSR
3	4	12.3791	OLSR
2	1	12.4957	OLSR
2	3	12.4957	OLSR
0	1	13	 UDP 49153 > 9
1	2	13.001	 UDP 49153 > 9
2	3	13.002	 UDP 49153 > 9
3	4	13.003	 UDP 49153 > 9
4	3	13.004	 UDP 9 > 49153
3	2	13.0051	 UDP 9 > 49153
2	1	13.0061	 UDP 9 > 49153
1	0	13.0071	 UDP 9 > 49153
0	1	14	 UDP 49153 > 9
1	2	14.001	 UDP 49153 > 9
0	1	14.0018	OLSR
2	3	14.002	 UDP 49153 > 9
3	4	14.003	 UDP 49153 > 9
4	3	14.004	 UDP 9 > 49153
3	2	14.0051	 UDP 9 > 49153
2	1	14.0061	 UDP 9 > 49153
1	0	14.0071	 UDP 9 > 49153
4	3	14.1765	OLSR
1	0	14.2787	OLSR
1	2	14.2787	OLSR
3	2	14.4008	OLSR
3	4	14.4008	OLSR
2	1	14.483	OLSR
2	3	14.483	OLSR
0	1	15	 UDP 49153 > 9
1	2	15.001	 UDP 49153 > 9
2	3	15.002	 UDP 49153 > 9
