From Id	To Id	Tx	Meta
1	2	0.238141	 UDP 520 > 520
3	2	0.238141	 UDP 520 > 520
0	1	0.894399	 UDP 520 > 520
1	0	0.895403	 UDP 520 > 520
3	2	0.895589	 UDP 520 > 520
3	4	0.895589	 UDP 520 > 520
2	3	0.896593	 UDP 520 > 520
4	3	0.896593	 UDP 520 > 520
4	3	0.912096	 UDP 520 > 520
3	4	0.9131	 UDP 520 > 520
1	0	0.922566	 UDP 520 > 520
1	2	0.922566	 UDP 520 > 520
0	1	0.92357	 UDP 520 > 520
2	1	0.92357	 UDP 520 > 520
2	1	38.3683	 UDP 520 > 520
2	3	38.3683	 UDP 520 > 520
3	2	40.774	 UDP 520 > 520
3	4	40.774	 UDP 520 > 520
1	0	41.3387	 UDP 520 > 520
1	2	41.3387	 UDP 520 > 520
1	0	41.3937	 UDP 520 > 520
1	2	41.3937	 UDP 520 > 520
4	3	42.4454	 UDP 520 > 520
3	2	43.739	 UDP 520 > 520
3	4	43.739	 UDP 520 > 520
0	1	43.8606	 UDP 520 > 520
2	1	45.5289	 UDP 520 > 520
2	3	45.5289	 UDP 520 > 520
3	2	46.8117	 UDP 520 > 520
3	4	46.8117	 UDP 520 > 520
1	0	49.2514	 UDP 520 > 520
1	2	49.2514	 UDP 520 > 520
0	1	50	 UDP 49153 > 9
1	2	50.001	 UDP 49153 > 9
2	3	50.002	 UDP 49153 > 9
3	4	50.003	 UDP 49153 > 9
4	3	50.004	 UDP 9 > 49153
3	2	50.0051	 UDP 9 > 49153
2	1	50.0061	 UDP 9 > 49153
1	0	50.0071	 UDP 9 > 49153
0	1	51	 UDP 49153 > 9
1	2	51.001	 UDP 49153 > 9
2	3	51.002	 UDP 49153 > 9
3	4	51.003	 UDP 49153 > 9
4	3	51.004	 UDP 9 > 49153
3	2	51.0051	 UDP 9 > 49153
2	1	51.0061	 UDP 9 > 49153
1	0	51.0071	 UDP 9 > 49153
4	3	51.0987	 UDP 520 > 520
0	1	52	 UDP 49153 > 9
1	2	52.001	 UDP 49153 > 9
