From Id	To Id	Tx	Meta
3	2	0.00217874	OLSR
3	4	0.00217874	OLSR
3	7	0.00217874	OLSR
4	2	0.00424089	OLSR
4	3	0.00424089	OLSR
4	7	0.00424089	OLSR
4	5	0.00424089	OLSR
4	6	0.00424089	OLSR
2	1	0.0278825	OLSR
2	3	0.0278825	OLSR
2	4	0.0278825	OLSR
1	0	0.0551666	OLSR
1	2	0.0551666	OLSR
1	5	0.0551666	OLSR
7	3	0.143093	OLSR
7	4	0.143093	OLSR
7	6	0.143093	OLSR
5	1	0.197746	OLSR
5	4	0.197746	OLSR
5	6	0.197746	OLSR
0	1	0.333009	OLSR
6	4	0.369476	OLSR
6	5	0.369476	OLSR
6	7	0.369476	OLSR
3	2	2.08448	OLSR
3	4	2.08448	OLSR
3	7	2.08448	OLSR
7	3	2.10442	OLSR
7	4	2.10442	OLSR
7	6	2.10442	OLSR
0	1	2.14233	OLSR
4	2	2.16194	OLSR
4	3	2.16194	OLSR
4	7	2.16194	OLSR
4	5	2.16194	OLSR
4	6	2.16194	OLSR
1	0	2.20331	OLSR
1	2	2.20331	OLSR
1	5	2.20331	OLSR
2	1	2.27781	OLSR
2	3	2.27781	OLSR
2	4	2.27781	OLSR
6	4	2.2952	OLSR
6	5	2.2952	OLSR
6	7	2.2952	OLSR
5	1	2.45299	OLSR
5	4	2.45299	OLSR
5	6	2.45299	OLSR
1	0	4.00278	OLSR
1	2	4.00278	OLSR
1	5	4.00278	OLSR
3	2	4.07814	OLSR
3	4	4.07814	OLSR
3	7	4.07814	OLSR
2	1	4.15411	OLSR
2	3	4.15411	OLSR
2	4	4.15411	OLSR
0	1	4.15872	OLSR
4	2	4.16095	OLSR
4	3	4.16095	OLSR
4	7	4.16095	OLSR
4	5	4.16095	OLSR
4	6	4.16095	OLSR
6	4	4.27546	OLSR
6	5	4.27546	OLSR
6	7	4.27546	OLSR
7	3	4.35184	OLSR
7	4	4.35184	OLSR
7	6	4.35184	OLSR
5	1	4.41065	OLSR
5	4	4.41065	OLSR
5	6	4.41065	OLSR
7	3	5.1524	OLSR
7	4	5.1524	OLSR
7	6	5.1524	OLSR
5	1	5.26656	OLSR
5	4	5.26656	OLSR
5	6	5.26656	OLSR
4	2	5.27471	OLSR
4	3	5.27471	OLSR
4	7	5.27471	OLSR
4	5	5.27471	OLSR
4	6	5.27471	OLSR
1	0	5.27548	OLSR
1	2	5.27548	OLSR
1	5	5.27548	OLSR
3	2	5.32596	OLSR
3	4	5.32596	OLSR
3	7	5.32596	OLSR
6	4	5.33469	OLSR
6	5	5.33469	OLSR
6	7	5.33469	OLSR
2	1	5.3924	OLSR
2	3	5.3924	OLSR
2	4	5.3924	OLSR
1	0	6.09865	OLSR
1	2	6.09865	OLSR
1	5	6.09865	OLSR
5	1	6.13034	OLSR
5	4	6.13034	OLSR
5	6	6.13034	OLSR
2	1	6.14451	OLSR
2	3	6.14451	OLSR
2	4	6.14451	OLSR
6	4	6.15648	OLSR
6	5	6.15648	OLSR
6	7	6.15648	OLSR
3	2	6.16844	OLSR
3	4	6.16844	OLSR
3	7	6.16844	OLSR
4	2	6.17636	OLSR
4	3	6.17636	OLSR
4	7	6.17636	OLSR
4	5	6.17636	OLSR
4	6	6.17636	OLSR
0	1	6.33321	OLSR
7	3	6.39653	OLSR
7	4	6.39653	OLSR
7	6	6.39653	OLSR
7	3	8.20669	OLSR
7	4	8.20669	OLSR
7	6	8.20669	OLSR
1	0	8.24134	OLSR
1	2	8.24134	OLSR
1	5	8.24134	OLSR
0	1	8.25093	OLSR
5	1	8.26211	OLSR
5	4	8.26211	OLSR
5	6	8.26211	OLSR
2	1	8.27527	OLSR
2	3	8.27527	OLSR
2	4	8.27527	OLSR
3	2	8.33568	OLSR
3	4	8.33568	OLSR
3	7	8.33568	OLSR
6	4	8.38054	OLSR
6	5	8.38054	OLSR
6	7	8.38054	OLSR
4	2	8.41461	OLSR
4	3	8.41461	OLSR
4	7	8.41461	OLSR
4	5	8.41461	OLSR
4	6	8.41461	OLSR
7	3	10.063	OLSR
7	4	10.063	OLSR
7	6	10.063	OLSR
0	1	10.1204	OLSR
5	1	10.1799	OLSR
5	4	10.1799	OLSR
5	6	10.1799	OLSR
4	2	10.1952	OLSR
4	3	10.1952	OLSR
4	7	10.1952	OLSR
4	5	10.1952	OLSR
4	6	10.1952	OLSR
1	0	10.2002	OLSR
1	2	10.2002	OLSR
1	5	10.2002	OLSR
3	2	10.3198	OLSR
3	4	10.3198	OLSR
3	7	10.3198	OLSR
2	1	10.3721	OLSR
2	3	10.3721	OLSR
2	4	10.3721	OLSR
7	3	10.3846	OLSR
7	4	10.3846	OLSR
7	6	10.3846	OLSR
5	1	10.4379	OLSR
5	4	10.4379	OLSR
5	6	10.4379	OLSR
6	4	10.4774	OLSR
6	5	10.4774	OLSR
6	7	10.4774	OLSR
5	1	10.492	OLSR
5	4	10.492	OLSR
5	6	10.492	OLSR
4	2	10.5653	OLSR
4	3	10.5653	OLSR
4	7	10.5653	OLSR
4	5	10.5653	OLSR
4	6	10.5653	OLSR
6	4	10.6191	OLSR
6	5	10.6191	OLSR
6	7	10.6191	OLSR
2	1	10.7999	OLSR
2	3	10.7999	OLSR
2	4	10.7999	OLSR
3	2	10.8384	OLSR
3	4	10.8384	OLSR
3	7	10.8384	OLSR
1	0	10.8425	OLSR
1	2	10.8425	OLSR
1	5	10.8425	OLSR
7	3	10.9633	OLSR
7	4	10.9633	OLSR
7	6	10.9633	OLSR
5	1	10.9811	OLSR
5	4	10.9811	OLSR
5	6	10.9811	OLSR
0	1	11	 UDP 49153 > 9
1	2	11.001	 UDP 49153 > 9
2	3	11.002	 UDP 49153 > 9
3	7	11.003	 UDP 49153 > 9
7	4	11.004	 UDP 9 > 49153
4	2	11.0051	 UDP 9 > 49153
2	1	11.0061	 UDP 9 > 49153
1	0	11.0071	 UDP 9 > 49153
0	1	12	 UDP 49153 > 9
1	2	12.001	 UDP 49153 > 9
2	3	12.002	 UDP 49153 > 9
3	7	12.003	 UDP 49153 > 9
7	4	12.004	 UDP 9 > 49153
2	1	12.0043	OLSR
2	3	12.0043	OLSR
2	4	12.0043	OLSR
4	2	12.0051	 UDP 9 > 49153
2	1	12.0061	 UDP 9 > 49153
1	0	12.0071	 UDP 9 > 49153
0	1	12.0094	OLSR
5	1	12.0819	OLSR
5	4	12.0819	OLSR
5	6	12.0819	OLSR
1	0	12.2214	OLSR
1	2	12.2214	OLSR
1	5	12.2214	OLSR
3	2	12.2804	OLSR
3	4	12.2804	OLSR
3	7	12.2804	OLSR
4	2	12.3143	OLSR
4	3	12.3143	OLSR
4	7	12.3143	OLSR
4	5	12.3143	OLSR
4	6	12.3143	OLSR
7	3	12.395	OLSR
7	4	12.395	OLSR
7	6	12.395	OLSR
6	4	12.437	OLSR
6	5	12.437	OLSR
6	7	12.437	OLSR
0	1	13	 UDP 49153 > 9
1	2	13.001	 UDP 49153 > 9
2	3	13.002	 UDP 49153 > 9
3	7	13.003	 UDP 49153 > 9
7	4	13.004	 UDP 9 > 49153
4	2	13.0051	 UDP 9 > 49153
2	1	13.0061	 UDP 9 > 49153
1	0	13.0071	 UDP 9 > 49153
0	1	14	 UDP 49153 > 9
1	2	14.001	 UDP 49153 > 9
2	3	14.002	 UDP 49153 > 9
2	1	14.0025	OLSR
2	3	14.0025	OLSR
2	4	14.0025	OLSR
3	7	14.003	 UDP 49153 > 9
7	4	14.004	 UDP 9 > 49153
4	2	14.0051	 UDP 9 > 49153
2	1	14.0061	 UDP 9 > 49153
1	0	14.0071	 UDP 9 > 49153
1	0	14.0565	OLSR
1	2	14.0565	OLSR
1	5	14.0565	OLSR
0	1	14.0788	OLSR
5	1	14.0865	OLSR
5	4	14.0865	OLSR
5	6	14.0865	OLSR
6	4	14.1236	OLSR
6	5	14.1236	OLSR
6	7	14.1236	OLSR
3	2	14.1361	OLSR
3	4	14.1361	OLSR
3	7	14.1361	OLSR
7	3	14.3748	OLSR
7	4	14.3748	OLSR
7	6	14.3748	OLSR
4	2	14.4742	OLSR
4	3	14.4742	OLSR
4	7	14.4742	OLSR
4	5	14.4742	OLSR
4	6	14.4742	OLSR
0	1	15	 UDP 49153 > 9
1	2	15.001	 UDP 49153 > 9
2	3	15.002	 UDP 49153 > 9
3	7	15.003	 UDP 49153 > 9
7	4	15.004	 UDP 9 > 49153
4	2	15.0051	 UDP 9 > 49153
2	1	15.0061	 UDP 9 > 49153
1	0	15.0071	 UDP 9 > 49153
3	2	15.0873	OLSR
3	4	15.0873	OLSR
3	7	15.0873	OLSR
5	1	15.1751	OLSR
5	4	15.1751	OLSR
5	6	15.1751	OLSR
1	0	15.2607	OLSR
1	2	15.2607	OLSR
1	5	15.2607	OLSR
7	3	15.2722	OLSR
7	4	15.2722	OLSR
7	6	15.2722	OLSR
3	2	15.281	OLSR
3	4	15.281	OLSR
3	7	15.281	OLSR
5	1	15.3106	OLSR
5	4	15.3106	OLSR
5	6	15.3106	OLSR
6	4	15.3347	OLSR
6	5	15.3347	OLSR
6	7	15.3347	OLSR
2	1	15.3531	OLSR
2	3	15.3531	OLSR
2	4	15.3531	OLSR
4	2	15.4481	OLSR
4	3	15.4481	OLSR
4	7	15.4481	OLSR
4	5	15.4481	OLSR
4	6	15.4481	OLSR
7	3	15.5499	OLSR
7	4	15.5499	OLSR
7	6	15.5499	OLSR
3	2	15.6886	OLSR
3	4	15.6886	OLSR
3	7	15.6886	OLSR
2	1	15.7368	OLSR
2	3	15.7368	OLSR
2	4	15.7368	OLSR
5	1	15.7647	OLSR
5	4	15.7647	OLSR
5	6	15.7647	OLSR
3	2	15.7715	OLSR
3	4	15.7715	OLSR
3	7	15.7715	OLSR
1	0	15.8189	OLSR
1	2	15.8189	OLSR
1	5	15.8189	OLSR
0	1	16	 UDP 49153 > 9
1	2	16.001	 UDP 49153 > 9
2	3	16.002	 UDP 49153 > 9
3	7	16.003	 UDP 49153 > 9
7	4	16.004	 UDP 9 > 49153
4	2	16.0051	 UDP 9 > 49153
2	1	16.0061	 UDP 9 > 49153
1	0	16.0071	 UDP 9 > 49153
4	2	16.0154	OLSR
4	3	16.0154	OLSR
4	7	16.0154	OLSR
4	5	16.0154	OLSR
4	6	16.0154	OLSR
2	1	16.0608	OLSR
2	3	16.0608	OLSR
2	4	16.0608	OLSR
6	4	16.067	OLSR
6	5	16.067	OLSR
6	7	16.067	OLSR
1	0	16.091	OLSR
1	2	16.091	OLSR
1	5	16.091	OLSR
7	3	16.1095	OLSR
7	4	16.1095	OLSR
7	6	16.1095	OLSR
5	1	16.1975	OLSR
5	4	16.1975	OLSR
5	6	16.1975	OLSR
0	1	16.3828	OLSR
3	2	16.4816	OLSR
3	4	16.4816	OLSR
3	7	16.4816	OLSR
0	1	17	 UDP 49153 > 9
1	2	17.001	 UDP 49153 > 9
2	3	17.002	 UDP 49153 > 9
3	7	17.003	 UDP 49153 > 9
7	4	17.004	 UDP 9 > 49153
4	2	17.0051	 UDP 9 > 49153
2	1	17.0061	 UDP 9 > 49153
1	0	17.0071	 UDP 9 > 49153
0	1	18	 UDP 49153 > 9
1	2	18.001	 UDP 49153 > 9
