From Id	To Id	Tx	Meta
4	2	0.0885554	 UDP 520 > 520
4	3	0.0885554	 UDP 520 > 520
4	7	0.0885554	 UDP 520 > 520
4	5	0.0885554	 UDP 520 > 520
4	6	0.0885554	 UDP 520 > 520
2	4	0.0895597	 UDP 520 > 520
3	4	0.0895597	 UDP 520 > 520
7	4	0.0895597	 UDP 520 > 520
5	4	0.0895597	 UDP 520 > 520
6	4	0.0895597	 UDP 520 > 520
0	1	0.291822	 UDP 520 > 520
1	0	0.292827	 UDP 520 > 520
7	3	0.67817	 UDP 520 > 520
7	4	0.67817	 UDP 520 > 520
7	6	0.67817	 UDP 520 > 520
3	7	0.679174	 UDP 520 > 520
4	7	0.679174	 UDP 520 > 520
6	7	0.679174	 UDP 520 > 520
3	2	0.793688	 UDP 520 > 520
3	4	0.793688	 UDP 520 > 520
3	7	0.793688	 UDP 520 > 520
2	3	0.794692	 UDP 520 > 520
4	3	0.794692	 UDP 520 > 520
7	3	0.794692	 UDP 520 > 520
6	4	0.817155	 UDP 520 > 520
6	5	0.817155	 UDP 520 > 520
6	7	0.817155	 UDP 520 > 520
4	6	0.818159	 UDP 520 > 520
5	6	0.818159	 UDP 520 > 520
7	6	0.818159	 UDP 520 > 520
2	1	0.831145	 UDP 520 > 520
2	3	0.831145	 UDP 520 > 520
2	4	0.831145	 UDP 520 > 520
1	2	0.832149	 UDP 520 > 520
3	2	0.832149	 UDP 520 > 520
4	2	0.832149	 UDP 520 > 520
1	0	0.953657	 UDP 520 > 520
1	2	0.953657	 UDP 520 > 520
1	5	0.953657	 UDP 520 > 520
0	1	0.954661	 UDP 520 > 520
2	1	0.954661	 UDP 520 > 520
5	1	0.954661	 UDP 520 > 520
5	1	0.96994	 UDP 520 > 520
5	4	0.96994	 UDP 520 > 520
5	6	0.96994	 UDP 520 > 520
1	5	0.970945	 UDP 520 > 520
4	5	0.970945	 UDP 520 > 520
6	5	0.970945	 UDP 520 > 520
3	2	30.0654	 UDP 520 > 520
3	4	30.0654	 UDP 520 > 520
3	7	30.0654	 UDP 520 > 520
4	2	30.1272	 UDP 520 > 520
4	3	30.1272	 UDP 520 > 520
4	7	30.1272	 UDP 520 > 520
4	5	30.1272	 UDP 520 > 520
4	6	30.1272	 UDP 520 > 520
2	1	30.8365	 UDP 520 > 520
2	3	30.8365	 UDP 520 > 520
2	4	30.8365	 UDP 520 > 520
1	0	31.655	 UDP 520 > 520
1	2	31.655	 UDP 520 > 520
1	5	31.655	 UDP 520 > 520
3	2	31.7533	 UDP 520 > 520
3	4	31.7533	 UDP 520 > 520
3	7	31.7533	 UDP 520 > 520
7	3	31.9017	 UDP 520 > 520
7	4	31.9017	 UDP 520 > 520
7	6	31.9017	 UDP 520 > 520
0	1	32	 UDP 49153 > 9
1	2	32.001	 UDP 49153 > 9
2	3	32.002	 UDP 49153 > 9
3	7	32.003	 UDP 49153 > 9
0	1	33	 UDP 49153 > 9
1	2	33.001	 UDP 49153 > 9
2	3	33.002	 UDP 49153 > 9
3	7	33.003	 UDP 49153 > 9
6	4	33.4899	 UDP 520 > 520
6	5	33.4899	 UDP 520 > 520
6	7	33.4899	 UDP 520 > 520
0	1	33.9257	 UDP 520 > 520
0	1	34	 UDP 49153 > 9
1	2	34.001	 UDP 49153 > 9
2	3	34.002	 UDP 49153 > 9
